company all Details
"['U72900TN2008PTC065899', 'ALSUM INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC130250', 'CONNECTICONS TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC132327', 'THINKNOW DIGITAL CONSULTANCY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2012PTC087563', 'S10 HEALTHCARE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC098837', 'JOBULI TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
[]
"['U72900TN2015PTC103011', 'NEIGHBR NETWORKS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2017PTC114152', 'VCREATE INFORMATION TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2019PTC131460', 'VKNOWLABS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC149605', 'GREAT VIBES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2019PTC130162', 'GENERIC TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72100TN2015PTC099710', 'WIDEVA SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2010PTC077247', 'PERFECT POWER CONTROLS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2006PTC060125', 'GOOD DOMAIN REGISTRY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2003PTC050693', 'DIGITAL.AI SOFTWARE INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC134944', 'SURREN TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2016PTC112594', 'THROWBILL SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC101371', 'GLEANTECH SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC143184', 'TRAECIT INNOVATIONS LAB PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2008PTC067858', 'TIS 3D SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146112', 'MEYNIKARA SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2008PTC065917', 'GM OUTSOURCING PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2022PTC154848', 'INSERVERTRON TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC099512', 'MACWORLD TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2019PTC128519', 'SWAMY WEB SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2014PTC096697', 'TOTAL CONTROL SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC127060', 'CROSSEDGE TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2016PTC111778', 'MEDZDIGITAL PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2022PTC155248', 'JAGS CONSULTING SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC128401', 'COD3S IT SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2015PTC099437', 'SHISAN TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2023PTC158392', 'SEMALGO TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2017PTC120115', 'NEXT CLOUDWAVE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
